date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:53:03	694/694	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Oct%202018%2009:10:36%20GMT	http://demo.tadathemes.com/HTML_DigitalWorld/source/colection-full.html	demo.tadathemes.com/HTML_DigitalWorld/source/colection-full.html	(from http://demo.tadathemes.com/HTML_DigitalWorld/source/product.html)
22:53:04	694/694	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Oct%202018%2009:10:36%20GMT	http://demo.tadathemes.com/HTML_DigitalWorld/source/collection-right.html	demo.tadathemes.com/HTML_DigitalWorld/source/collection-right.html	(from http://demo.tadathemes.com/HTML_DigitalWorld/source/product.html)
22:53:05	694/694	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Oct%202018%2009:10:36%20GMT	http://demo.tadathemes.com/HTML_DigitalWorld/source/pages-about.html	demo.tadathemes.com/HTML_DigitalWorld/source/pages-about.html	(from http://demo.tadathemes.com/HTML_DigitalWorld/source/product.html)
22:53:06	694/694	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Oct%202018%2009:10:36%20GMT	http://demo.tadathemes.com/HTML_DigitalWorld/source/pages-services.html	demo.tadathemes.com/HTML_DigitalWorld/source/pages-services.html	(from http://demo.tadathemes.com/HTML_DigitalWorld/source/product.html)
22:53:07	694/694	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Oct%202018%2009:10:36%20GMT	http://demo.tadathemes.com/HTML_DigitalWorld/source/pages-faq.html	demo.tadathemes.com/HTML_DigitalWorld/source/pages-faq.html	(from http://demo.tadathemes.com/HTML_DigitalWorld/source/product.html)
22:53:08	694/694	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Oct%202018%2009:10:36%20GMT	http://demo.tadathemes.com/HTML_DigitalWorld/source/pages-location.html	demo.tadathemes.com/HTML_DigitalWorld/source/pages-location.html	(from http://demo.tadathemes.com/HTML_DigitalWorld/source/product.html)
22:53:09	694/694	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Oct%202018%2009:10:36%20GMT	http://demo.tadathemes.com/HTML_DigitalWorld/source/pages-typography.html	demo.tadathemes.com/HTML_DigitalWorld/source/pages-typography.html	(from http://demo.tadathemes.com/HTML_DigitalWorld/source/product.html)
22:53:10	694/694	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Oct%202018%2009:10:36%20GMT	http://demo.tadathemes.com/HTML_DigitalWorld/source/pages-heading.html	demo.tadathemes.com/HTML_DigitalWorld/source/pages-heading.html	(from http://demo.tadathemes.com/HTML_DigitalWorld/source/product.html)
22:53:12	81776/81776	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Mar%202018%2010:48:25%20GMT	http://demo.tadathemes.com/HTML_DigitalWorld/source/blog.html	demo.tadathemes.com/HTML_DigitalWorld/source/blog.html	(from http://demo.tadathemes.com/HTML_DigitalWorld/source/product.html)
22:53:12	694/694	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Oct%202018%2009:10:36%20GMT	http://demo.tadathemes.com/HTML_DigitalWorld/source/blog-grid.html	demo.tadathemes.com/HTML_DigitalWorld/source/blog-grid.html	(from http://demo.tadathemes.com/HTML_DigitalWorld/source/product.html)
22:53:13	694/694	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Oct%202018%2009:10:36%20GMT	http://demo.tadathemes.com/HTML_DigitalWorld/source/blog-full.html	demo.tadathemes.com/HTML_DigitalWorld/source/blog-full.html	(from http://demo.tadathemes.com/HTML_DigitalWorld/source/product.html)
22:53:15	694/694	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Oct%202018%2009:10:36%20GMT	http://demo.tadathemes.com/HTML_DigitalWorld/source/blog-left.html	demo.tadathemes.com/HTML_DigitalWorld/source/blog-left.html	(from http://demo.tadathemes.com/HTML_DigitalWorld/source/product.html)
22:53:15	694/694	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Oct%202018%2009:10:36%20GMT	http://demo.tadathemes.com/HTML_DigitalWorld/source/blog-right.html	demo.tadathemes.com/HTML_DigitalWorld/source/blog-right.html	(from http://demo.tadathemes.com/HTML_DigitalWorld/source/product.html)
22:53:17	83/83	---M--	409	error ('Conflict')	text/html	date:Wed,%2002%20Jan%202019%2015:53:16%20GMT	http://demo.tadathemes.com/HTML_DigitalWorld/source/page-contact.html	demo.tadathemes.com/HTML_DigitalWorld/source/page-contact.html	(from http://demo.tadathemes.com/HTML_DigitalWorld/source/product.html)
22:53:17	694/694	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Oct%202018%2009:10:36%20GMT	http://demo.tadathemes.com/HTML_DigitalWorld/source/account-login.thml	demo.tadathemes.com/HTML_DigitalWorld/source/account-login.thml	(from http://demo.tadathemes.com/HTML_DigitalWorld/source/product.html)
22:53:18	83/83	---M--	409	error ('Conflict')	text/html	date:Wed,%2002%20Jan%202019%2015:53:18%20GMT	http://demo.tadathemes.com/HTML_DigitalWorld/source/account-register.html	demo.tadathemes.com/HTML_DigitalWorld/source/account-register.html	(from http://demo.tadathemes.com/HTML_DigitalWorld/source/product.html)
22:53:19	2535/2535	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20Mar%202018%2010:50:13%20GMT	http://demo.tadathemes.com/HTML_DigitalWorld/source/assets/images/cart1_100x100.jpg	demo.tadathemes.com/HTML_DigitalWorld/source/assets/images/cart1_100x100.jpg	(from http://demo.tadathemes.com/HTML_DigitalWorld/source/product.html)
22:53:20	2564/2564	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20Mar%202018%2010:50:13%20GMT	http://demo.tadathemes.com/HTML_DigitalWorld/source/assets/images/cart2_100x100.jpg	demo.tadathemes.com/HTML_DigitalWorld/source/assets/images/cart2_100x100.jpg	(from http://demo.tadathemes.com/HTML_DigitalWorld/source/product.html)
22:53:21	1553/1553	---M--	200	added ('OK')	image/jpeg	date:Sat,%2031%20Mar%202018%2010:50:14%20GMT	http://demo.tadathemes.com/HTML_DigitalWorld/source/assets/images/cart3_100x100.jpg	demo.tadathemes.com/HTML_DigitalWorld/source/assets/images/cart3_100x100.jpg	(from http://demo.tadathemes.com/HTML_DigitalWorld/source/product.html)
22:53:22	1464/1464	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Mar%202018%2010:50:58%20GMT	http://demo.tadathemes.com/HTML_DigitalWorld/source/assets/images/logo.png	demo.tadathemes.com/HTML_DigitalWorld/source/assets/images/logo.png	(from http://demo.tadathemes.com/HTML_DigitalWorld/source/product.html)
22:53:23	694/694	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Oct%202018%2009:10:36%20GMT	http://demo.tadathemes.com/HTML_DigitalWorld/source/cart.html	demo.tadathemes.com/HTML_DigitalWorld/source/cart.html	(from http://demo.tadathemes.com/HTML_DigitalWorld/source/product.html)
22:53:26	509/509	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Mar%202018%2010:50:34%20GMT	http://demo.tadathemes.com/HTML_DigitalWorld/source/assets/images/icon1_100x100.png	demo.tadathemes.com/HTML_DigitalWorld/source/assets/images/icon1_100x100.png	(from http://demo.tadathemes.com/HTML_DigitalWorld/source/product.html)
22:53:26	209522/209522	---MCZ	200	added ('OK')	text/html	date:Sat,%2031%20Mar%202018%2010:48:26%20GMT	http://demo.tadathemes.com/HTML_DigitalWorld/source/collection.html	demo.tadathemes.com/HTML_DigitalWorld/source/collection.html	(from http://demo.tadathemes.com/HTML_DigitalWorld/source/product.html)
22:53:26	535/535	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Mar%202018%2010:50:34%20GMT	http://demo.tadathemes.com/HTML_DigitalWorld/source/assets/images/icon2_100x100.png	demo.tadathemes.com/HTML_DigitalWorld/source/assets/images/icon2_100x100.png	(from http://demo.tadathemes.com/HTML_DigitalWorld/source/product.html)
22:53:27	560/560	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Mar%202018%2010:50:35%20GMT	http://demo.tadathemes.com/HTML_DigitalWorld/source/assets/images/icon3_100x100.png	demo.tadathemes.com/HTML_DigitalWorld/source/assets/images/icon3_100x100.png	(from http://demo.tadathemes.com/HTML_DigitalWorld/source/product.html)
22:53:28	1186/1186	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Mar%202018%2010:50:35%20GMT	http://demo.tadathemes.com/HTML_DigitalWorld/source/assets/images/icon4_100x100.png	demo.tadathemes.com/HTML_DigitalWorld/source/assets/images/icon4_100x100.png	(from http://demo.tadathemes.com/HTML_DigitalWorld/source/product.html)
22:53:29	2620/2620	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Mar%202018%2010:50:36%20GMT	http://demo.tadathemes.com/HTML_DigitalWorld/source/assets/images/icon5_100x100.png	demo.tadathemes.com/HTML_DigitalWorld/source/assets/images/icon5_100x100.png	(from http://demo.tadathemes.com/HTML_DigitalWorld/source/product.html)
22:53:30	849/849	---M--	200	added ('OK')	image/png	date:Sat,%2031%20Mar%202018%2010:50:37%20GMT	http://demo.tadathemes.com/HTML_DigitalWorld/source/assets/images/icon6_100x100.png	demo.tadathemes.com/HTML_DigitalWorld/source/assets/images/icon6_100x100.png	(from http://demo.tadathemes.com/HTML_DigitalWorld/source/product.html)
